,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
1005, IT Recruiter- Urgent Requirement," it hiring, IT Recruitment, it staffing",Pune,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software, Software Services",1 - 5,1 - 5
1008," Urgent Hiring For "" IT Recruiter(gurgaon)"," recruitment, hr, conducting interviews, sourcing, it recruitment, it recruiter, Technical Recruitment",Gurgaon,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
1022,Openings for Ipdrg Coders In Chennai and Hyderabad,"IP DRG Coder,medical coding,Inpatient coder,DRG coder,medical coder,IPDRG,IP Coder,IPDG coding"," Chennai,Hyderabad","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO , Call Centre , ITES",1 - 5,1 - 5
1023, Direct Sales - CASA Bank Sales Kolkata," saving account, casa, Retail Sales, direct sales, banking, field sales",Kolkata,"Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
1026," Customer Care Executive (gurgaon,noida)"," Customer Care, Voice Process, International, International Call Center, Travel Process, Sales Process, Reservation Executive, Ticketing Executive, GDS, Amadeus","Delhi NCR,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1033, Tele Sales Executive for Real Estate Company," sales executive activities, selling, telesales, fixing appointments, sales executive, tele sales executive, tele caller, lead generation, cold calling, outbound calling",Gurgaon,"Channel Sales,Sales , Retail , Business Development,Real Estate, Property",1 - 5,1 - 5
1035, Financial Service Associate - Bancassurance - Hdfc Bank," sales, marketing, direct sales, channel sales, bank, banking, home loans, housing finance, corporate sales, nbfc, sales officer, manager, loans, banca, insurance, life, general, motor, sales executive, casa, bancassurance, mortgage, LAP","Mumbai,NaviMumbai,Thane","Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
1050," SEO , Web Promotion"," SEO, SEM, Link Building, Web Promotion, Social Media Marketing, Web Technologies, Team Building","Delhi NCR,Mumbai,Bengaluru,Chennai,Hyderabad,Pune,Kolkata,Ahmedabad,Delhi","Admin,Maintenance,Security,Datawarehousing,IT Software - eCommerce , Internet Technologies,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
1067, Immediate Openings For Graphic Designer," Graphics, Design, Illustrator, Photoshop, Graphic Designing, Flash, Indesign",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
1068, Assistant Manager Client Acquisition," client acquisition, equity sales, demat sales, HNI Client Handling, HNI Sales, HNI Acquisition, New Client Acquisition","Kolkata,Shillong,Gangtok","Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
1077, Quality Analyst," quality analysis, qa, tech support, Technical Support, technical troubleshooting","Delhi,Gurgaon","Quality,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
1086," Pharmacist,hospital Pharmacist"," Inventory Control, Pharmacy, External Audit, Dispensing, Auditing","Delhi NCR,Jaipur","R&D,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Media, Entertainment, Internet",1 - 5,1 - 5
1104," Hiring for Outbound Process , bpo , tele Sales,customer Care Executive"," international bpo, customer care, domestic, outbound process, sales process, Domestic BPO, bpo fresher, bpo executive","Delhi,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1114, Logistics Officer," Logistics, Order Processing, Sap Is",Ahmedabad,"Logistics,Supply Chain , Logistics , Purchase , Materials,Chemicals, PetroChemical, Plastic, Rubber",1 - 5,1 - 5
1115, Core HR," Core HR, Recruitment, Learning, training development",Hyderabad,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
1119, Day Shift Jobs," BPO, Customer Service, voice process, voice support, Calling, Domestic BPO, customer care, Service Sales, call center, customer support",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1122," Great Opportunity For Toefl - Banking Process with the Leading Ites,b"," operations, process management, TOEFL, banking process, communication skills, customer experience, ms office",Chennai,"Financial Services,Stock Broking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",1 - 5,1 - 5
1124, Software Developer," software development, vb.net, visual basic.net, sql server, web programmer","Delhi NCR,Agra,Jhansi,Kanpur,Lucknow","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
1129, Recruitment Executive - Goregaon East," Shortlisting, Hiring, Interviewing, Recruitment, HR, Follow Ups, Database Management, MS Office, power point",Mumbai,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
1141, Android Mobile Application Developer," Application Development, Android Development, Mobile Application Development, Ios Development, Android Studio, iphone developer",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
1165," Hiring For Cognizant,mphasis,fadv,ola Cabs,superdaily Etc Sal upto 5lk"," bpo, Inbound Process, customer service executive, mnc, csr, international bpo, customer service, customer care, outbound process, international voice, international voice process, calling, international call center, communication skills",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1168, Sales OR Business Growth Executive," Sales, Marketing, Branding, Advertising, Promotions, Events, Corporate Sales, Team Handling, Entrepreneurship, management, creative, fresher, trainee, Communication Skills, Presentation Skills",Delhi NCR,"Other,Marketing , Advertising , MR , PR , Media Planning,Advertising, PR, MR, Event Management",1 - 5,1 - 5
1173, US Recruiter 2-4yrs," c2c, implementation, US Recruiter",Hyderabad,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
1182, Hiring For Data Entry & Computer Operator Jobs In Delhi Noida," Data Entry, Computer Operating, Calling, customer care, customer support, customer service, customer service executive, customer support executive, Domestic BPO, call center executive, customer care executive, customer care officer, customer support officer","Delhi,Noida,Ghaziabad","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1183, Customer Support Executive," admin executive, administration executive, training co - ordinator",Hyderabad,"Sales Support,Sales , Retail , Business Development,Industrial Products, Heavy Machinery",1 - 5,1 - 5
1234, Portfolio Manger SME Hyderabad," Cross Selling, Client Servicing, Cold Calling, Client Relationship, Marketing",Hyderabad,"Channel Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
1254, Marketing Intern Fresher Mumbai," Customer Relationship, telecaller, Relationship Management, customer care officer, Telecalling, Cold Calling, telemarketing, customer support officer, Marketing, CRM, MAR, customer care executive",Mumbai,"Other,Accounts , Finance , Tax , Company Secretary , Audit,Accounting, Finance",1 - 5,1 - 5
1264, Hiring For Top 10 Mnc's in Pune," bpo, call centre, domestic bpo, international bpo, inbound, customer service, call center, us process, voice process, cse, inbound process, uk process, international call center",Pune,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1274, Digital Marketing - Account Executive," Pay Per Click, Digital Marketing, Google AdWords, Search Marketing, PPC, Google Analytics, Internet Marketing, Web Analytics, Facebook, Marketing Initiatives",Hyderabad,"Online,Digital Marketing,Marketing , Advertising , MR , PR , Media Planning,Internet, Ecommerce",1 - 5,1 - 5
1282, Power BI," CSS, Power Bi, XML, Web Technologies, .Net, HTML, JSON, Python",Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
1283, Graphic Designer, Graphic Designing,Hyderabad,"Creative,Marketing , Advertising , MR , PR , Media Planning,IT-Software, Software Services",1 - 5,1 - 5
1290, HR Executive," non it recruitment, recruitment, Recruitment Executive, Job Posting, Consultancy","Noida,Delhi,...More","HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
1298," Urgent Hiring Going For Wipro,kolkata To Apply Call : HR Shayani"," Apple, Networking, Technical Support, IOS, Troubleshooting, Android, Hardware Installation, Client Handling, customer support",Kolkata,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1305, Hiring For Travels Refunds Executive@ Gurgaon," Amadeus, Worldspan, Sabre, Galileo, Ticketing, Travel, GDS, Communication Skills, RDM, IATA, fares, International Ticketing, Travel Consultant, ticketing executive, reservation executive",Gurgaon,"Ticketing,Travel,Documentation,Travel , Tours , Ticketing , Airlines,Travel , Hotels , Restaurants , Airlines , Railways",1 - 5,1 - 5
1307, Executive Export & Import," export import, dgft, customs, GST",Delhi NCR,"Documentation,Shipping,Export , Import , Merchandising,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
1312, Business Development Manager," management consulting, b2b sales, recruitment, business consulting, client acquisition, business development, client onboarding, corporate sales","Delhi NCR,Mumbai,Bengaluru","Corporate Sales,Sales , Retail , Business Development,Recruitment, Staffing",1 - 5,1 - 5
1331, Mysql Database Developer in Malad Location.," database development, MySQL Db, mysql database, Stored Procedures, triggers, functions",Mumbai,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,Retail, Wholesale",1 - 5,1 - 5
1341," On d spot Offer Letter !! Bulk Hiring For Amex,convergys ,AON ,metlife"," voice, international bpo, sitel, inbound, wipro, freshers, customer service, live chat, customer care, dell, amex, ibm, chat, non voice","Delhi NCR,Gurgaon,Noida","Back Office,Web,Transaction Processing,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1346," Hedge Funds , Taxation , MBA Finance , Mumbai , 3.5 LPA"," Fixed Income, Client Reporting, Performance Reporting, Investment Banking",Mumbai,"Finance,Audit,Accounts , Finance , Tax , Company Secretary , Audit,Banking, Financial Services, Broking",1 - 5,1 - 5
1349," Accenture - P2P , Accounts Payable Hurry Call Now"," o2c, accounting, otc, collections, recoveries, accounts payable, general ledger, general accounting, account management, b.com, financial accounting, p2p, Vendor Management","Delhi NCR,Noida,Gurgaon","Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Accounting, Finance",1 - 5,1 - 5
1352, Area Initiator (medical Representative)," fso, pharma marketing, Field Sales Officer, cardio, cardiovascular, roi, sales, pharmaceutical sales, brand promotion, territory officer, diabetes, medical marketing","Bengaluru,Ahmedabad,Delhi,Faridabad,Gurgaon,Lucknow","Retail Sales,Sales , Retail , Business Development,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
1369," Telecaller 0-1yr Exp ,pune"," voice process, call center, fresher, English speaking, Tele Caller, tele marketing, tele sales, tele sales executive",Pune,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
1376, Executive - Technical Service ( TSS )," customer service, customer complaints, technical services","Ahmedabad,Hosur","Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Chemicals, PetroChemical, Plastic, Rubber",1 - 5,1 - 5
1378," Technical Sales Executive, 5 day, both side cab, Delhi,ncr-sarita"," technical sales, international bpo, voice process","Delhi NCR,Gurgaon,Noida,...More","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1379, Immediate Hiring for Team Leader - Broadband Sales," Team Motivation, Team Leading, Sales, Target Achievement, Retail Sales",Hyderabad,"Retail Sales,Sales , Retail , Business Development,Telcom, ISP",1 - 5,1 - 5
1392, Technical Recruiter," Technical Recruitment, IT Recruitment, C2H, HR, Screening, Talent Acquisition, Hiring, Sourcing, Interviewing, Referencing",Bengaluru,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
1398," Fresher Electronics Electrical Engineer For Quality , Maintenance"," Maintenance Engineering, Diploma, Electricals, Electrical Engineering",Pune,"Other,Engineering Design , R&D,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
1414, Customer Service Associate," Inbound Process, Grievance Handling, Customer Service, English Language, Interpersonal Skills",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
1424," Sr.hr Executive,assistant Manager Hr,professional"," Selection, Human Resource Management, HR Operations, HR Manager, Recruitment, Onboarding, HR Generalist Activities, Attrition Management, Senior HR Executive, PF, Interview Scheduling, Employee Engagement, Employee Relations, ESI",Chennai,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Education, Teaching, Training",1 - 5,1 - 5
